dbo,Account,BankID,FK_Account_AccountBank,dbo,AccountBank,BankID
dbo,Account,OrgGroupID,FK_Account_OrgGroup,dbo,OrgGroup,OrgGroupID
dbo,Account,CreatedBy,FK_Account_Users,dbo,Users,EntityID
dbo,Account,FiscalCalendarID,FK_Account_FiscalCalendar,dbo,FiscalCalendar,FiscalCalendarID
dbo,AccountBudget,AccountID,FK_AccountBudget_Account,dbo,Account,AccountID
dbo,AccountCalendarSummary,AccountID,FK_AccountCalendarSummary_Account,dbo,Account,AccountID
dbo,AccountCalendarSummaryExt,AccountSummaryID,FK_AccountCalendarSummaryExt_AccountCalendarSummary,dbo,AccountCalendarSummary,AccountSummaryID
dbo,AccountEligibilityResults,EntityID,FK_AccountEligibilityResults_Client,dbo,Client,EntityID
dbo,AccountEligibilityResults,OrgGroupID,FK_AccountEligibilityResults_OrgGroup,dbo,OrgGroup,OrgGroupID
dbo,AccountEligibilityResults,CreatedBy,FK_AccountEligibilityResults_Users,dbo,Users,EntityID
dbo,AccountEligibilityRule,AccountID,FK_AccountEligibilityRule_Account,dbo,Account,AccountID
dbo,AccountEligibilityRule,EligibilityRuleChainID,FK_AccountEligibilityRule_AccountEligibilityRuleChain,dbo,AccountEligibilityRuleChain,EligibilityRuleChainID
dbo,AccountEligibilityRule,RuleID,FK_AccountEligibilityRule_Rule,dbo,Rule,RuleID
dbo,AccountEligibilityRuleChain,AccountID,FK_AccountEligibilityRuleChain_Account,dbo,Account,AccountID
dbo,AccountMaster,OrgGroupID,FK_AccountMaster_OrgGroup,dbo,OrgGroup,OrgGroupID
dbo,AccountMaster,BucketFundTypeID,FK_AccountMaster_BucketFundType,dbo,BucketFundType,BucketFundTypeID
dbo,AccountMaster,AccountMasterGrandID,FK_AccountMaster_AccountMasterGrand,dbo,AccountMasterGrand,AccountMasterGrandID
dbo,AccountMasterAccount,MasterID,FK_AccountMasterAccount_AccountMaster,dbo,AccountMaster,MasterID
dbo,AccountMasterAccount,AccountID,FK_AccountMasterAccount_Account,dbo,Account,AccountID
dbo,AccountMasterGrand,FundSourceTypeID,FK_AccountMasterGrand_FundSourceTypeID,dbo,FundSourceType,FundSourceTypeID
dbo,AccountMasterGrand,CreatedBy,FK_AccountMasterGrand_CreatedBy_Users_EntityID,dbo,Users,EntityID
dbo,AccountMasterGrand,DeletedBy,FK_AccountMasterGrand_DeletedBy_Users_EntityID,dbo,Users,EntityID
